site_team,db_team,players,avg_rating,first11_count
Galatasaray,Galatasaray_SK,31,79.58,0
Fenerbahçe,Fenerbahçe_SK,33,80.45,0
Beşiktaş JK,Beşiktaş_JK,28,78.25,0
Trabzonspor,Trabzonspor,31,77.52,0
Alanyaspor,Alanyaspor,20,69.95,0
Kasımpaşa SK,Kasımpaşa,17,67.18,0
Sivasspor,Sivasspor,9,69.11,0
Kayserispor,Kayserispor,10,68.3,0
Ankaragücü,Ankaragücü,27,62.48,0
ÇAYKUR Rizespor,Çaykur_Rizespor,21,72.24,0
Samsunspor,Samsunspor,31,71.55,0
Göztepe,Göztepe,20,74.25,0
Kocaelispor,Kocaelispor,11,68.27,0
Çorum FK,Çorum_FK,15,65.53,0
Redbull Eyüpspor,Eyüpspor,20,66.45,0
Gençlerbirliği,Gençlerbirliği,10,66.9,0
İstanbulspor,İstanbulspor,27,65.48,0
Bursaspor,Bursaspor,14,68.21,0
Diyarbakırspor,Amed_SK,11,65.73,0
Esenler Erokspor,Esenler_Erokspor,8,64.62,0
Bodrum FK,Bodrum_FK,18,68.06,0
Pendikspor,Pendikspor,10,65.0,0
Bandırmaspor,Bandırma_Spor,13,65.69,0
Keçiörengücü,Ankara_Keçiörengücü,20,65.85,0
Iğdır FK,Iğdır_FK,12,67.33,0
Vanspor,Vanspor,29,67.52,0
Manisa Fk,Manisa_FK,21,65.95,0
Boluspor,Boluspor,8,62.38,0
Ümraniyespor,Ümraniyespor,26,66.81,0
Sarıyer fk,Sarıyer_FK,25,66.4,0
Serikspor,Serikspor,37,64.16,0
Sakaryaspor,Sakaryaspor,31,66.29,0
Hatayspor,Hatayspor,14,66.86,0
Adana Demirspor,Adana_Demirspor,23,60.74,0
Başakşehir,İstanbul_Başakşehir_FK,33,71.7,0
Gaziantep,Gaziantep_FK,13,67.46,0
Karagümrük,Fatih_Karagümrük,15,68.13,0
Erzurumspor,Erzurumspor_FK,9,64.44,0
